,0,1,2,3,4,5,6,7
0,85359.30385627727,85164.93760064727,47826.66713335621,25622.037047582962,19593.131707254925,27647.065735716336,1379687498007173.2,1.969863169743324e+22
1,85373.32396737773,85161.81467434544,48752.99266618985,25679.65486105578,19910.721217229475,37025.90221101637,4761074987763.103,1.291501083341619e+23
2,85350.62545970739,85178.06352140548,48676.938428954585,25540.22674942666,19890.252029881005,31175.78670759931,8401965278.205907,1.1025534115036169e+25
3,85353.51233569214,85178.21786126986,47864.2091497931,25327.884078374358,19685.807464182748,28020.200289896526,580155372876.6311,7.658204782118192e+22
4,85346.92566893829,85187.76057650792,49209.998830049895,25798.98218344978,19893.23382999517,26152.76211942729,3628593911725.2173,2.5358426318243756e+23
5,85369.75865628985,85179.8659392129,47932.47847231081,25319.82641078202,20666.229983413978,31897.556457910752,88217058206.84355,1.6242269408740985e+24
6,85368.4668308204,85155.20044468206,48540.810664666205,25195.573459087223,20323.998574418787,25930.164757459566,780522274698.6804,5.760807238828126e+24
7,85365.92478364885,85172.001259095,49431.63481604631,25538.54880158719,20563.863364759833,25709.47917339234,59427397230123.75,3.0587718099403727e+21
8,85364.86538297519,85218.86158333403,54028.43928447091,26037.128574752052,22490.79501915901,27190.383335128332,1159624706803.0833,1.0421815433458492e+23
9,85380.53123948697,85368.70991324756,85363.38437280087,85374.55765395348,85356.06657056096,85390.45563615105,65501407604060.02,1.9754837566357638e+21
