,0,1,2,3,4,5,6,7
0,85298.56529514542,84960.24792959934,70898.75327647642,30210.56841634442,22860.609225911703,21395.40484785478,79213.35068098655,7355447.505265906
1,85340.76540604774,84937.06513848563,70394.4347226501,30307.01412407954,23222.019306958595,23233.493038122142,63379.18311200634,510009317.5983761
2,85315.88550814496,84881.98765028376,70539.17561910878,30430.83667684887,22868.53082215241,21553.37209906913,68001.45154889098,3260874.128829859
3,85352.40473824248,84860.66485003506,71319.46927392902,30061.310991117884,23041.27872734971,21731.07957786556,72707.5688262741,361154.48339760274
4,85323.1230667394,84936.14350998389,71080.6747757908,29918.25867539266,22976.9460997028,22212.992084295387,56436.62548339782,346568488.5974339
5,85328.48267067855,84962.62051667062,70500.89567782085,29799.187026037736,22909.808109134603,22026.60344130669,82124.34342194434,1199134.909362305
6,85316.90035972963,84940.0870064222,70960.8180948138,30347.061491427565,23151.41244001692,22161.812742458806,79505.89614503966,8449652.368743781
7,85335.23073631957,84965.4156596431,70933.74271123776,29998.22450227422,22569.10090583147,22006.436606329407,60498.95395521847,421853968.97138816
8,85362.33687939293,84938.3423207945,72320.00234762479,31276.36392711973,26147.238555123113,25870.71233072219,65203.39981554057,6499852.602567966
9,85311.52947075029,85335.0572970755,85223.59745667472,73373.30441474088,42322.94932989431,54889.07222759155,89884.84820483116,2747782.1332733715
