,0,1,2,3,4,5,6,7
0,78969.45558314986,22217.566917515003,17205.720878768472,28379.558348772734,61122.31005488334,6.398161587023159e+145,8.837549059903454e+299,
1,78278.46230380343,23146.970882253572,15532.270937629995,27201.965591399174,65927.00359725169,85409.57481811328,,
2,78611.34005290053,22825.77580443013,13432.738860484638,27523.473416881367,58548.39287784598,2.661743237454932e+136,,
3,78652.62408641916,21582.213423551188,14644.899656332342,26068.97965075564,62022.57926746931,6.432487106071367e+39,,
4,78706.08145888383,23065.808464347392,16782.028127150377,26401.21364467079,67325.3963228302,85386.94750250339,,
5,79034.23243561265,20510.9667984625,15679.606060253864,27261.60551548589,69602.24681714382,85446.49234133164,,
6,78750.46449194451,21867.556635076362,17137.766341037386,25504.126547083644,66772.39130333069,84495.11252292027,,
7,78712.36489392894,22023.75212702838,15333.253484121375,26734.486229709943,61613.38629838124,85421.42153663782,,
8,78983.64854325652,22129.558718720305,16348.980312462483,27141.10411687693,60659.8851555303,4698637650557970.0,,
9,83146.13431018878,37044.41826453828,35961.72815287026,52390.263358584096,71103.93472399161,85492.0396326211,1.2028370392183325e+300,
