,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,5001,26879.847062563957,12,1000,1e-07,1000,10.0,79530.88722345924,88175.6494936458
1,16,5001,26879.847062563957,12,1000,1e-06,1000,100.0,65433.76526789192,87331.39243984659
2,16,5001,26879.847062563957,12,1000,1e-05,1000,1000.0,54243.416365467885,81257.97960121412
3,16,5001,26879.847062563957,12,1000,0.0001,1000,10000.0,45208.130511619594,67268.64088083024
4,16,5001,26879.847062563957,12,1000,0.001,1000,100000.0,35915.841637192694,53627.16442564001
5,16,5001,26879.847062563957,12,1000,0.01,1000,1000000.0,33676.72721619381,43994.3773565517
6,16,5001,26879.847062563957,12,1000,0.1,1000,10000000.0,,35640.613334378344
7,16,5001,26879.847062563957,12,1000,1.0,1000,100000000.0,,34241.17920582423
8,16,5001,26879.847062563957,12,1000,10.0,1000,1000000000.0,,66439.52553157113
9,16,5001,26879.847062563957,12,1000,100.0,1000,10000000000.0,,80341608.22827804
