,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,20000,20664.846922145003,18,1000,1e-07,1000,10.0,68479.48272098138,85375.41842989871
1,16,20000,20664.846922145003,18,1000,1e-06,1000,100.0,53892.14959579364,80907.26129069112
2,16,20000,20664.846922145003,18,1000,1e-05,1000,1000.0,44233.3824095546,70723.36393107474
3,16,20000,20664.846922145003,18,1000,0.0001,1000,10000.0,35707.29207915277,53387.818909717986
4,16,20000,20664.846922145003,18,1000,0.001,1000,100000.0,31680.433514272558,43293.16037430873
5,16,20000,20664.846922145003,18,1000,0.01,1000,1000000.0,,35339.47711310161
6,16,20000,20664.846922145003,18,1000,0.1,1000,10000000.0,,30979.366387974842
7,16,20000,20664.846922145003,18,1000,1.0,1000,100000000.0,,34979.30689654551
8,16,20000,20664.846922145003,18,1000,10.0,1000,1000000000.0,,2022090.4001804132
9,16,20000,20664.846922145003,18,1000,100.0,1000,10000000000.0,,2760855.8295435985
