,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,5000,24041.7960246958,12,1000,1e-07,1000,10.0,79673.50977045855,87601.88779577921
1,16,5000,24041.7960246958,12,1000,1e-06,1000,100.0,65165.001015688445,86781.98649229942
2,16,5000,24041.7960246958,12,1000,1e-05,1000,1000.0,51938.23509065337,81034.65533620643
3,16,5000,24041.7960246958,12,1000,0.0001,1000,10000.0,42969.923956154045,67045.59723159029
4,16,5000,24041.7960246958,12,1000,0.001,1000,100000.0,35382.459096409155,51522.43631556117
5,16,5000,24041.7960246958,12,1000,0.01,1000,1000000.0,34153.5178536769,41849.91703334891
6,16,5000,24041.7960246958,12,1000,0.1,1000,10000000.0,,35075.57451790244
7,16,5000,24041.7960246958,12,1000,1.0,1000,100000000.0,,35416.88282279
8,16,5000,24041.7960246958,12,1000,10.0,1000,1000000000.0,,137484.96925960493
9,16,5000,24041.7960246958,12,1000,100.0,1000,10000000000.0,,469126.0375423647
