,batchsize,datapoints,epochs,degree,analytical_error:,eta_RMSprop,eta_SGD,t0,t1,time,MSE_SGD,MSE_RMSprop,MSE_decay
0,16,500,1000,3,30954.948864331614,0.1,0.0001,1000,10000.0,22.522927348000003,34603.02512558943,34178.38584506887,30633.009856316894
1,16,500,1000,3,30954.948864331614,0.1,0.0001,1000,10000.0,22.977101553,34617.687277848665,32924.26461793024,30745.525775477374
2,16,500,1000,3,30954.948864331614,0.1,0.0001,1000,10000.0,24.590028314,34666.01802133938,32485.138333174793,30794.372978094354
3,16,500,1000,3,30954.948864331614,0.1,0.0001,1000,10000.0,23.614849693,34640.9554582487,32161.814849458708,30756.766751126837
4,16,500,1000,3,30954.948864331614,0.1,0.0001,1000,10000.0,24.425745721000002,34685.09034740998,32362.54943204654,31063.35133740608
5,16,500,1000,3,30954.948864331614,0.1,0.0001,1000,10000.0,25.315104534000003,34643.79706568343,31734.30225394288,30884.40031993491
6,16,500,1000,3,30954.948864331614,0.1,0.0001,1000,10000.0,26.495353488000003,34618.14254857558,31513.114648851817,31013.15106982234
7,16,500,1000,3,30954.948864331614,0.1,0.0001,1000,10000.0,30.534314867000003,34627.00503467665,31308.59051340757,31062.95566911681
