,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,20000,20664.846922145003,18,1000,1e-07,1000,10.0,68482.30328323133,85374.75366051619
1,16,20000,20664.846922145003,18,1000,1e-06,1000,100.0,53891.66552655315,80908.97059718212
2,16,20000,20664.846922145003,18,1000,1e-05,1000,1000.0,44228.976097277744,70727.19493304088
3,16,20000,20664.846922145003,18,1000,0.0001,1000,10000.0,35719.86701009791,53385.29621738098
4,16,20000,20664.846922145003,18,1000,0.001,1000,100000.0,31458.51916401863,43284.68529399834
5,16,20000,20664.846922145003,18,1000,0.01,1000,1000000.0,,35390.16004705248
6,16,20000,20664.846922145003,18,1000,0.1,1000,10000000.0,,31435.5439769628
7,16,20000,20664.846922145003,18,1000,1.0,1000,100000000.0,,37592.7216926358
8,16,20000,20664.846922145003,18,1000,10.0,1000,1000000000.0,,39616.73150423029
9,16,20000,20664.846922145003,18,1000,100.0,1000,10000000000.0,,1795085.7224852878
