,batchsize,datapoints,degree,analytical_error:,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop,MSE_decay
0,16,5000,12,24041.79602074917,1000,1e-07,1000,10.0,77050.10666478191,89404.96796845099,
1,16,5000,12,24041.79602074917,1000,1e-06,1000,100.0,60227.9741867197,87901.0591336739,
2,16,5000,12,24041.79602074917,1000,1e-05,1000,1000.0,49199.111594560345,79676.41657514946,
3,16,5000,12,24041.79602074917,1000,0.0001,1000,10000.0,39969.31347542979,63597.83706099822,
4,16,5000,12,24041.79602074917,1000,0.001,1000,100000.0,35019.30993879305,50002.225240538726,34728.065764751154
5,16,5000,12,24041.79602074917,1000,0.01,1000,1000000.0,86335.42452399278,40403.60653784427,35676.70287424776
6,16,5000,12,24041.79602074917,1000,0.1,1000,10000000.0,,34894.47169586697,40650.98948524031
7,16,5000,12,24041.79602074917,1000,1.0,1000,100000000.0,,32922.972765519204,49256.542774416135
8,16,5000,12,24041.79602074917,1000,10.0,1000,1000000000.0,,47418.778527131886,60229.15429219749
9,16,5000,12,24041.79602074917,1000,100.0,1000,10000000000.0,,577537.5442587616,77046.89396781682
