,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,500,30954.948864331614,3,1000,1e-07,1000,10.0,77768.4875793094,77882.96236101523
1,16,500,30954.948864331614,3,1000,1e-06,1000,100.0,76812.5069748415,77878.50216363328
2,16,500,30954.948864331614,3,1000,1e-05,1000,1000.0,71829.10867341954,77834.004924571
3,16,500,30954.948864331614,3,1000,0.0001,1000,10000.0,51282.14921909308,77404.83375537371
4,16,500,30954.948864331614,3,1000,0.001,1000,100000.0,37934.43234730597,74190.76701878024
5,16,500,30954.948864331614,3,1000,0.01,1000,1000000.0,33331.62717526199,53227.03415967798
6,16,500,30954.948864331614,3,1000,0.1,1000,10000000.0,30267.1363125535,37465.528289758404
7,16,500,30954.948864331614,3,1000,1.0,1000,100000000.0,,32433.70782101351
8,16,500,30954.948864331614,3,1000,10.0,1000,1000000000.0,,37041.684384319226
9,16,500,30954.948864331614,3,1000,100.0,1000,10000000000.0,,293036.9783140986
