,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,500,30954.948864331614,3,1000,1e-07,1000,10.0,77766.64001431505,77882.96295708865
1,16,500,30954.948864331614,3,1000,1e-06,1000,100.0,76828.77070375474,77878.49883878411
2,16,500,30954.948864331614,3,1000,1e-05,1000,1000.0,71819.66573572217,77834.06209397691
3,16,500,30954.948864331614,3,1000,0.0001,1000,10000.0,51198.15531151041,77404.28000988506
4,16,500,30954.948864331614,3,1000,0.001,1000,100000.0,38134.962373103546,74174.93666709747
5,16,500,30954.948864331614,3,1000,0.01,1000,1000000.0,33585.79593721656,53165.50877259647
6,16,500,30954.948864331614,3,1000,0.1,1000,10000000.0,32185.611751597804,37397.15923090379
7,16,500,30954.948864331614,3,1000,1.0,1000,100000000.0,,32781.359703236136
8,16,500,30954.948864331614,3,1000,10.0,1000,1000000000.0,,36222.818047998146
9,16,500,30954.948864331614,3,1000,100.0,1000,10000000000.0,,71340.73250564831
