,batchsize,datapoints,epochs,degree,analytical_error,eta_ADAM,eta_RMSprop,eta_SGD,t0,t1,time,MSE_SGD,MSE_RMSprop,MSE_ADAM
0,1,2000,1000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,134.412634123,30035.924957507363,33209.86666756489,31835.909685494775
1,2,2000,1000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,70.030654166,29971.091267373078,32205.713432616212,31143.292341628265
2,4,2000,1000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,36.782616952000005,30475.056137720567,32628.056071607254,32374.143155669382
3,8,2000,1000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,19.215217402,31869.999475663837,32743.4388369574,32848.47751948232
4,16,2000,1000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,9.213739773,33477.70699811347,33341.57351842741,34617.84841081101
5,32,2000,1000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,4.677078314,35084.226399948595,34503.30428059598,36288.39963690011
6,64,2000,1000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,3.0740023950000004,37362.840569535816,35855.46627378538,37448.09735227077
7,128,2000,1000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,1.621502352,39754.06763545866,37152.961586410594,38608.38570429665
