,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,5001,26879.847062563957,12,1000,1e-07,1000,10.0,79533.04409084121,88175.84724413129
1,16,5001,26879.847062563957,12,1000,1e-06,1000,100.0,65447.82589985472,87330.45193904759
2,16,5001,26879.847062563957,12,1000,1e-05,1000,1000.0,54248.77255328245,81250.70684909204
3,16,5001,26879.847062563957,12,1000,0.0001,1000,10000.0,45188.4144958737,67253.12321863891
4,16,5001,26879.847062563957,12,1000,0.001,1000,100000.0,35980.65782645015,53643.03351730269
5,16,5001,26879.847062563957,12,1000,0.01,1000,1000000.0,43057.81865745372,43936.683580337194
6,16,5001,26879.847062563957,12,1000,0.1,1000,10000000.0,,35843.34714791776
7,16,5001,26879.847062563957,12,1000,1.0,1000,100000000.0,,37696.21501649533
8,16,5001,26879.847062563957,12,1000,10.0,1000,1000000000.0,,52408.470534681735
9,16,5001,26879.847062563957,12,1000,100.0,1000,10000000000.0,,60547.90696208525
