,batchsize,datapoints,degree,analytical_error:,eta_RMSprop,eta_SGD,t0,t1,epochs,MSE_SGD,MSE_RMSprop,MSE_decay
0,16,20000,18,20664.842853156937,0.1,1e-05,1000,1000000.0,1.0,77171.30494069526,53255.07905138487,51103.48559640484
1,16,20000,18,20664.842853156937,0.1,1e-05,1000,1000000.0,10.0,62923.70160763449,43727.796915684616,41717.309979058096
2,16,20000,18,20664.842853156937,0.1,1e-05,1000,1000000.0,100.0,50810.277515247704,36095.204028845656,35249.20861288647
3,16,20000,18,20664.842853156937,0.1,1e-05,1000,1000000.0,1000.0,41175.44123707838,31425.23661332562,32773.939954004934
4,16,20000,18,20664.842853156937,0.1,1e-05,1000,1000000.0,10000.0,34028.47445930865,29508.267333001073,31753.107887626524
