,batchsize,datapoints,degree,analytical_error:,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop,MSE_decay
0,16,500,3,30954.948864331614,1000,1e-07,1000,10.0,77716.13565119667,77954.63658805775,6.858545762796301e+293
1,16,500,3,30954.948864331614,1000,1e-06,1000,100.0,75925.69349573075,77946.29019648234,1.9766867446536847e+287
2,16,500,3,30954.948864331614,1000,1e-05,1000,1000.0,68355.55456729721,77862.90433538119,7.737234671030002e+154
3,16,500,3,30954.948864331614,1000,0.0001,1000,10000.0,43296.497957431035,77082.03671170255,32525.892412206493
4,16,500,3,30954.948864331614,1000,0.001,1000,100000.0,36000.18914519826,71987.99736843468,33322.84360965306
5,16,500,3,30954.948864331614,1000,0.01,1000,1000000.0,32055.90266440605,46351.19443312278,36477.3148317911
6,16,500,3,30954.948864331614,1000,0.1,1000,10000000.0,32925.35784273537,36322.62263515045,43236.32272124113
7,16,500,3,30954.948864331614,1000,1.0,1000,100000000.0,,32829.43489344428,68358.8368254714
8,16,500,3,30954.948864331614,1000,10.0,1000,1000000000.0,,36408.34871899909,75932.4501566032
9,16,500,3,30954.948864331614,1000,100.0,1000,10000000000.0,,44740.93981317074,77716.33714139441
