,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,500,30954.948864331614,3,1000,1e-07,1000,10.0,77767.47755139455,77882.96431205966
1,16,500,30954.948864331614,3,1000,1e-06,1000,100.0,76811.2645529335,77878.4953796512
2,16,500,30954.948864331614,3,1000,1e-05,1000,1000.0,71806.01835816917,77833.9469481456
3,16,500,30954.948864331614,3,1000,0.0001,1000,10000.0,51170.94162321212,77405.14611530205
4,16,500,30954.948864331614,3,1000,0.001,1000,100000.0,37861.42245690912,74187.46934238457
5,16,500,30954.948864331614,3,1000,0.01,1000,1000000.0,33456.62564192462,53330.94086379965
6,16,500,30954.948864331614,3,1000,0.1,1000,10000000.0,34285.551804106915,37450.38444526112
7,16,500,30954.948864331614,3,1000,1.0,1000,100000000.0,,32304.218903135425
8,16,500,30954.948864331614,3,1000,10.0,1000,1000000000.0,,31613.512016516077
9,16,500,30954.948864331614,3,1000,100.0,1000,10000000000.0,,53776.22660324149
