,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,500,30954.948864331614,3,1000,1e-07,1000,10.0,77767.89392795373,77882.96303126405
1,16,500,30954.948864331614,3,1000,1e-06,1000,100.0,76811.95950900893,77878.49059237754
2,16,500,30954.948864331614,3,1000,1e-05,1000,1000.0,71806.0741575556,77834.01892667518
3,16,500,30954.948864331614,3,1000,0.0001,1000,10000.0,51191.99789097728,77403.96692217096
4,16,500,30954.948864331614,3,1000,0.001,1000,100000.0,38024.833761526854,74187.00792793045
5,16,500,30954.948864331614,3,1000,0.01,1000,1000000.0,33341.08125480071,53082.55933330493
6,16,500,30954.948864331614,3,1000,0.1,1000,10000000.0,31626.738576500204,37284.79261647104
7,16,500,30954.948864331614,3,1000,1.0,1000,100000000.0,,33354.75878568724
8,16,500,30954.948864331614,3,1000,10.0,1000,1000000000.0,,31112.66878251542
9,16,500,30954.948864331614,3,1000,100.0,1000,10000000000.0,,31251.665307954278
