,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,5001,26879.847062563957,12,1000,1e-07,1000,10.0,79508.62148312455,88175.74694744758
1,16,5001,26879.847062563957,12,1000,1e-06,1000,100.0,65433.05163711472,87331.61113237565
2,16,5001,26879.847062563957,12,1000,1e-05,1000,1000.0,54242.44488609433,81254.01624987011
3,16,5001,26879.847062563957,12,1000,0.0001,1000,10000.0,45242.21043378328,67274.20055904162
4,16,5001,26879.847062563957,12,1000,0.001,1000,100000.0,36005.96923951074,53640.09419118558
5,16,5001,26879.847062563957,12,1000,0.01,1000,1000000.0,34280.717089424164,44017.78759129816
6,16,5001,26879.847062563957,12,1000,0.1,1000,10000000.0,,35504.60443210924
7,16,5001,26879.847062563957,12,1000,1.0,1000,100000000.0,,33976.57342936412
8,16,5001,26879.847062563957,12,1000,10.0,1000,1000000000.0,,52470.79530473839
9,16,5001,26879.847062563957,12,1000,100.0,1000,10000000000.0,,5574858.049957338
