,batchsize,datapoints,degree,analytical_error:,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop,MSE_decay
0,16,20000,18,20664.842853156937,1000,1e-07,1000,10.0,63202.925783581246,83940.02798174978,
1,16,20000,18,20664.842853156937,1000,1e-06,1000,100.0,50823.63308536583,79133.80484293339,
2,16,20000,18,20664.842853156937,1000,1e-05,1000,1000.0,41193.35132309309,67633.33196253372,
3,16,20000,18,20664.842853156937,1000,0.0001,1000,10000.0,34199.38001339537,51588.85763980585,
4,16,20000,18,20664.842853156937,1000,0.001,1000,100000.0,30548.075489218183,42020.046306743214,1.922928241344285e+258
5,16,20000,18,20664.842853156937,1000,0.01,1000,1000000.0,,35457.86459010438,32768.996089629065
6,16,20000,18,20664.842853156937,1000,0.1,1000,10000000.0,,30617.956285232376,35187.374840685174
7,16,20000,18,20664.842853156937,1000,1.0,1000,100000000.0,,30340.254184518897,41476.23199340813
8,16,20000,18,20664.842853156937,1000,10.0,1000,1000000000.0,,237957.79972766314,50853.34697506466
9,16,20000,18,20664.842853156937,1000,100.0,1000,10000000000.0,,50322178.15970372,63208.65463954456
