,batchsize,datapoints,degree,analytical_error:,eta_RMSprop,eta_SGD,t0,t1,epochs,MSE_SGD,MSE_RMSprop,MSE_decay
0,16,500,3,30954.948864331614,0.1,0.0001,1000,10000.0,1.0,77876.27238443602,77024.37246337606,52289.80751034986
1,16,500,3,30954.948864331614,0.1,0.0001,1000,10000.0,10.0,76009.0844146346,72053.96783989154,37251.48039635153
2,16,500,3,30954.948864331614,0.1,0.0001,1000,10000.0,100.0,68295.53770916982,46213.15414248418,32110.47185916108
3,16,500,3,30954.948864331614,0.1,0.0001,1000,10000.0,1000.0,43354.603427359994,36115.20662242057,32622.41832769579
4,16,500,3,30954.948864331614,0.1,0.0001,1000,10000.0,10000.0,36036.92123344149,32422.59376386761,32093.914695251686
