,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,5001,26879.847062563957,12,1000,1e-07,1000,10.0,79531.12039553006,88175.78571794866
1,16,5001,26879.847062563957,12,1000,1e-06,1000,100.0,65455.25234641503,87331.83543602197
2,16,5001,26879.847062563957,12,1000,1e-05,1000,1000.0,54234.88000905149,81252.89185959767
3,16,5001,26879.847062563957,12,1000,0.0001,1000,10000.0,45216.56740127222,67245.21719717236
4,16,5001,26879.847062563957,12,1000,0.001,1000,100000.0,36010.080106628215,53634.680131193476
5,16,5001,26879.847062563957,12,1000,0.01,1000,1000000.0,34124.438045502946,43927.36585815898
6,16,5001,26879.847062563957,12,1000,0.1,1000,10000000.0,,35498.91235446474
7,16,5001,26879.847062563957,12,1000,1.0,1000,100000000.0,,34627.97848970656
8,16,5001,26879.847062563957,12,1000,10.0,1000,1000000000.0,,40618.928470977364
9,16,5001,26879.847062563957,12,1000,100.0,1000,10000000000.0,,3825225.688723939
