,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,20000,20664.846922145003,18,1000,1e-07,1000,10.0,68482.85253533063,85375.18467024619
1,16,20000,20664.846922145003,18,1000,1e-06,1000,100.0,53900.525457413256,80906.40384543742
2,16,20000,20664.846922145003,18,1000,1e-05,1000,1000.0,44223.3401812188,70714.14003765557
3,16,20000,20664.846922145003,18,1000,0.0001,1000,10000.0,35660.322784858254,53401.46107141564
4,16,20000,20664.846922145003,18,1000,0.001,1000,100000.0,31247.847968396203,43285.939000289465
5,16,20000,20664.846922145003,18,1000,0.01,1000,1000000.0,,35357.87434219261
6,16,20000,20664.846922145003,18,1000,0.1,1000,10000000.0,,31004.34152154309
7,16,20000,20664.846922145003,18,1000,1.0,1000,100000000.0,,31778.747857481074
8,16,20000,20664.846922145003,18,1000,10.0,1000,1000000000.0,,3801658.8424980883
9,16,20000,20664.846922145003,18,1000,100.0,1000,10000000000.0,,216110.49652164354
