,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,20000,20664.846922145003,18,1000,1e-07,1000,10.0,68477.2032614162,85374.95603974292
1,16,20000,20664.846922145003,18,1000,1e-06,1000,100.0,53889.84607633002,80908.01211516907
2,16,20000,20664.846922145003,18,1000,1e-05,1000,1000.0,44218.80945691544,70718.44118748532
3,16,20000,20664.846922145003,18,1000,0.0001,1000,10000.0,35670.12193679052,53384.5877655198
4,16,20000,20664.846922145003,18,1000,0.001,1000,100000.0,31300.098424659514,43289.48288339904
5,16,20000,20664.846922145003,18,1000,0.01,1000,1000000.0,,35384.208325001
6,16,20000,20664.846922145003,18,1000,0.1,1000,10000000.0,,31019.91406327995
7,16,20000,20664.846922145003,18,1000,1.0,1000,100000000.0,,86509.17039057455
8,16,20000,20664.846922145003,18,1000,10.0,1000,1000000000.0,,95043.08612376363
9,16,20000,20664.846922145003,18,1000,100.0,1000,10000000000.0,,6430673.894491636
