,polynomial degree,MSE Bootstrap,MSE Kfold-crossvalidation
0,1,0.0312092660012046,0.027947897398859035
1,2,0.031086419978771273,0.025441092730010228
2,3,0.02616129422187922,0.01748337241267573
3,4,0.03247089179914789,0.019536633896704063
4,5,0.03919161732053404,0.008824975261798524
