,Lambda value,MSE Kfold-crossvalidation Ridge
0,0.0001,0.02263114408362548
1,0.00012648552168552957,0.02434206074441562
2,0.00015998587196060574,0.017770022503054258
3,0.00020235896477251576,0.022973010658729743
4,0.0002559547922699536,0.019455972975564832
5,0.00032374575428176434,0.01659465525648824
6,0.00040949150623804275,0.021684570292206946
7,0.0005179474679231213,0.014892110765712138
8,0.0006551285568595509,0.016041028135194958
9,0.0008286427728546842,0.014745908772778184
10,0.0010481131341546852,0.016278498920853725
11,0.0013257113655901094,0.017425788355906687
12,0.0016768329368110084,0.01731731366676218
13,0.0021209508879201904,0.02303082290325588
14,0.002682695795279727,0.01828681456468016
15,0.00339322177189533,0.020340143293873708
16,0.004291934260128779,0.016401083846922362
17,0.005428675439323859,0.017453500561076495
18,0.006866488450042998,0.022231898403578663
19,0.008685113737513529,0.017268201947505134
20,0.010985411419875584,0.01607820455432858
21,0.013894954943731374,0.017690970035554178
22,0.01757510624854793,0.01736531374787808
23,0.022229964825261957,0.021761616557146438
24,0.028117686979742307,0.02295592673280958
25,0.03556480306223128,0.01950281514403799
26,0.04498432668969444,0.01880050713479715
27,0.05689866029018299,0.01910169755300952
28,0.07196856730011521,0.0178282850790577
29,0.09102981779915217,0.019374685250769418
30,0.11513953993264481,0.017580608868334388
31,0.14563484775012445,0.020459787886780705
32,0.18420699693267165,0.018319848313924858
33,0.2329951810515372,0.018909503871635834
34,0.29470517025518095,0.019299988878244016
35,0.3727593720314942,0.0192140625589186
36,0.47148663634573945,0.020514076648913967
37,0.5963623316594643,0.01885142729464387
38,0.7543120063354622,0.020831519712543062
39,0.9540954763499944,0.020174370639700512
40,1.2067926406393288,0.020744787876871805
41,1.5264179671752334,0.02127827857493078
42,1.9306977288832496,0.021967915159166608
43,2.44205309454865,0.023793725734862103
44,3.088843596477485,0.02438151651737337
45,3.906939937054621,0.0242459623939303
46,4.941713361323838,0.024679670629554028
47,6.250551925273976,0.026747489670351128
48,7.9060432109077015,0.026787678078872272
49,10.0,0.028659670986035668
