,polynomial degree,OLS,Ridge (lambda = 0.1),Ridge (lambda = 1.0)
0,1,0.005068291948750909,0.013573895939842626,0.013401478629947996
1,2,0.022543117862133116,0.061490264335128976,0.04735496700912153
2,3,0.12764300922403807,0.20687664167142383,0.07719264144048313
3,4,0.6320005830464926,0.24991064819914557,0.0857127094184587
4,5,2.9771085826568333,0.278022567838649,0.09112530752811532
