,mindeg,maxdeg,nr_lambdas,min_lambda,max_lambda,sigma,k,datapoints,n_bootstrap,n_bootstraps_lasso,R2_lasso,R2_ridge,R2_OLS,MSEBOOTRIDGE,MSEBOOTLASSO,MSEBOOTOLS,MSEkfoldRIDGE
0,1,7,5,-5,100,0.3,5,150,1000,1000,0.2915873281764401,0.29159965759710793,0.29160067702051023,0.14442408317232427,0.10800576364512846,0.10671455379880838,0.10929581822563265
1,1,7,5,-5,100,0.3,5,150,1000,1000,0.047888566001590464,0.050551954740348896,0.0477674273277593,0.1038895962821735,0.10572634431915136,0.10339438067649509,0.1043118887571618
2,1,7,5,-5,100,0.3,5,150,1000,1000,0.40446521899399573,0.4068026887716063,0.4008767895627674,0.08541866165382855,0.0988092866887028,0.0969309947404317,0.09871830465702237
3,1,7,5,-5,100,0.3,5,150,1000,1000,0.48294206239668613,0.5172762121362229,0.513648229237831,0.10954869940343326,0.10163850649397496,0.1073577491927282,0.09836122622127105
4,1,7,5,-5,100,0.3,5,150,1000,1000,0.13287983230666411,0.14901593773289507,-0.1589702733357974,0.1298561273509802,0.09847983773145368,0.10480514786020212,0.1938114236592457
5,1,7,5,-5,100,0.3,5,150,1000,1000,0.3223124552692062,0.2998026916265586,-1.3804090534465885,0.1309419239146367,0.1023232267928218,0.1677969342989633,0.09789222345004242
6,1,7,5,-5,100,0.3,5,150,1000,1000,0.35873804172813467,0.36128326124100907,-1.568800387224345,0.0894489140583008,0.09861811621739605,0.5656135748450002,0.09840819879436448
