,nr_lambdas_ridge,nr_lambdas_lasso,min_lambda,max_lambda,k,datapoints,n_bootstrap,n_bootstraps_lasso,mindeg,maxdeg,lasso_tol,lasso_iterations,R2_lasso,R2_ridge,R2_OLS,MSEBOOTRIDGE,MSEBOOTLASSO,MSEBOOTOLS,MSEkfoldRIDGE,MSEkfoldLASSO,MSEkfoldOLS,bias_LASSO,bias_RIDGE,bias_OLS,variance_0LS,variance_Ridge,variance_LASSO,ideal_lambda_LASSO,ideal_lambda_RIDGE
0,100,3,-25,-10,5,20000,1000,12,1,5,0.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,84887.67767580057,84892.8776986007,84882.91677251438,0.0,0.0,0.0,0.0,0.0,0.0,1e-25,3.2745491628777315e-19
1,100,3,-25,-10,5,20000,1000,12,1,5,0.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,55369.21197663432,66195.21579234941,55351.87242027205,0.0,0.0,0.0,0.0,0.0,0.0,3.1622776601683795e-18,1.4174741629268077e-25
2,100,3,-25,-10,5,20000,1000,12,1,5,0.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40038.29030544482,54869.71669655018,40051.14762417117,0.0,0.0,0.0,0.0,0.0,0.0,3.1622776601683795e-18,5.72236765935022e-20
3,100,3,-25,-10,5,20000,1000,12,1,5,0.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,39401.85199009778,52249.139904160016,39378.06637095392,0.0,0.0,0.0,0.0,0.0,0.0,1e-25,4.328761281083062e-17
4,100,3,-25,-10,5,20000,1000,12,1,5,0.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,31563.13859778692,49326.509685740966,31570.39454071981,0.0,0.0,0.0,0.0,0.0,0.0,3.1622776601683795e-18,1.6297508346206402e-19
