,0,1,2,3,4,5,6,7
0,85375.44226262267,85380.07305876377,84830.27755934106,77490.0222080948,42783.812189794065,60350.330680113344,85698.15507704909,87006.488189946
1,85383.41855724924,85377.8534468312,84863.18728447685,77507.55292126996,51058.73346692305,52776.20203668201,85411.82458504687,86477.83892801467
2,85353.01651639331,85380.06353013038,84863.45442087334,77519.00469987895,43318.71933613125,75232.94083307325,85874.72254964727,87213.79245527662
3,85368.41535901985,85366.58460702351,84864.14262628331,77399.12002329525,44280.11704872233,38651.44081509554,85565.32246754429,86189.63475433063
4,85372.25834962519,85377.4616199667,84859.44473742171,77445.46161436368,43781.1106936859,72412.86073879842,85419.39249250501,87259.02464570303
5,85379.45016271315,85371.96335082105,84842.49651844213,77543.03029091036,43863.73878352067,52051.06236455592,85424.57001129985,85869.00165298238
6,85383.3349612573,85363.26281959935,84831.32165342609,77436.20105076516,45041.09804803039,24002.08171422312,85485.48858901621,85730.65039994456
7,85378.08944950117,85375.55622375445,84958.05305550827,77479.19295199888,43617.893455184465,24901.500610341533,85519.60242857329,86893.94249457895
8,85364.95298563028,85368.80604002843,85376.53710923379,85372.28971824172,85378.56549421095,85374.39179847047,85399.89838457083,85552.14868853385
9,85380.02224464214,85372.36908575245,85370.70202381689,85374.59023399875,85357.40630056555,85383.31191167267,85383.81014633976,85663.90410152145
