,Lambda value,MSE Kfold-crossvalidation Ridge
0,1e-05,0.09371471499284327
1,1.029237602671213e-05,0.09399069338568444
2,1.0593300427523858e-05,0.09341033575801325
3,1.0903023136400592e-05,0.09419929491795381
4,1.1221801394777714e-05,0.09387829932873762
5,1.154989996521349e-05,0.09356617081862072
6,1.188759135128866e-05,0.09386032643631004
7,1.2235156023935385e-05,0.09417788447386313
8,1.2592882654383506e-05,0.09424812124811607
9,1.2961068353917582e-05,0.09374743642557457
10,1.3340018920643858e-05,0.09428956594950097
11,1.3730049093472106e-05,0.09443674094823698
12,1.4131482813523293e-05,0.09309803097408738
13,1.4544653493180163e-05,0.09435496417153932
14,1.4969904293004234e-05,0.09447234051042097
15,1.5407588406749147e-05,0.09369362711839777
16,1.5858069354707266e-05,0.09446899911837059
17,1.6321721285632738e-05,0.09379496895120687
18,1.6798929287492346e-05,0.09419610999328748
19,1.729008970730185e-05,0.09341054555894185
20,1.7795610480313574e-05,0.09362270105089164
21,1.8315911468828656e-05,0.09383708386543804
22,1.8851424810915384e-05,0.0936943611500697
23,1.9402595279323174e-05,0.09449483261547247
24,1.9969880650890378e-05,0.09341220936792913
25,2.0553752086752655e-05,0.09378605118798512
26,2.1154694523667745e-05,0.09398189138777424
27,2.177320707678163e-05,0.09431972705631067
28,2.2409803454170615e-05,0.09311777111244263
29,2.3065012383503633e-05,0.09353756474056675
30,2.3739378051179118e-05,0.0944508435716779
31,2.443346055430121e-05,0.093491657977065
32,2.5147836365870625e-05,0.09369540523568662
33,2.588309881357663e-05,0.09337060214658763
34,2.663985857258773e-05,0.09403440944227617
35,2.741874417275036e-05,0.09354463180366687
36,2.8220402520616872e-05,0.09370592132454587
37,2.9045499436736366e-05,0.0940966997636636
38,2.9894720208654605e-05,0.09384897344534866
39,3.076877016008233e-05,0.0937971387739647
40,3.1668375236704694e-05,0.0934457813862381
41,3.2594282609118284e-05,0.09397180354154214
42,3.354726129339691e-05,0.09390823389003888
43,3.4528102789800616e-05,0.09374040521167828
44,3.55376217401596e-05,0.09357801334598351
45,3.657665660447825e-05,0.09319734534522135
46,3.764607035732139e-05,0.09307065053682119
47,3.874675120456128e-05,0.09346998698889218
48,3.987961332108059e-05,0.09396976629645812
49,4.104559761004396e-05,0.09374739151118819
50,4.224567248436892e-05,0.09367868741586217
51,4.3480834671045086e-05,0.09337744853293761
52,4.475211003896981e-05,0.09331251037962104
53,4.6060554450987614e-05,0.09420244078910656
54,4.740725464084136e-05,0.0933230175900423
55,4.87933291157633e-05,0.09351208820095508
56,5.021992908545572e-05,0.09352996383852749
57,5.168823941823277e-05,0.09325833942374853
58,5.3199479625117586e-05,0.09366370108227454
59,5.475490487271207e-05,0.09383167048980595
60,5.635580702568049e-05,0.09424716099547675
61,5.800351571971289e-05,0.09383598128103887
62,5.9699399465859316e-05,0.09320629297417479
63,6.144486678715213e-05,0.09415827754823337
64,6.32413673884605e-05,0.09330709823517226
65,6.509039336054852e-05,0.09394839259116641
66,6.69934804193372e-05,0.09359728301609982
67,6.895220918139947e-05,0.09397974505485052
68,7.09682064767476e-05,0.09343998099048892
69,7.304314670000335e-05,0.09441469236810654
70,7.517875320107317e-05,0.09362045582763426
71,7.737679971648334e-05,0.094347414685938
72,7.963911184256391e-05,0.09345341802008178
73,8.196756855170491e-05,0.09434822584024823
74,8.436410375294509e-05,0.09450608968879742
75,8.683070789818668e-05,0.09468935609006762
76,8.936942963537402e-05,0.09375628594663414
77,9.198237751000602e-05,0.09425566732488282
78,9.46717217163971e-05,0.09373707281323573
79,9.743969590014076e-05,0.09337680646541992
80,0.0001002885990132729,0.09400659620972548
81,0.00010322079722367559,0.09259118438554266
82,0.00010623872588030726,0.09488466508774318
83,0.0001093448915358916,0.09431427788713537
84,0.00011254187402874488,0.0932497899128262
85,0.00011583232862547103,0.0944215775078486
86,0.00011921898822630393,0.09370775113863114
87,0.00012270466563492864,0.09370656542643326
88,0.00012629225589466672,0.09317046920792142
89,0.00012998473869296615,0.09346349222863333
90,0.00013378518083619254,0.09319817038081185
91,0.00013769673879677753,0.09370895623615533
92,0.0001417226613348395,0.09376232405890626
93,0.00014586629219645443,0.09309867907390637
94,0.00015013107289081742,0.09454499845921358
95,0.00015452054554860207,0.09405022294610127
96,0.000159038355863891,0.09458148243259129
97,0.00016368825612212242,0.09406346742010319
98,0.0001684741083165648,0.09377916925297404
99,0.00017339988735591143,0.09446997447816408
100,0.00017846968436565668,0.09444951805441297
101,0.00018368771008599655,0.09333242429387276
102,0.00018905829836907587,0.09361540401259705
103,0.00019458590977848656,0.09377517988075336
104,0.00020027513529400625,0.09381034288812905
105,0.00020613070012465582,0.09428671724961599
106,0.00021215746763323949,0.09404296258672884
107,0.00021836044337563088,0.09374705058417762
108,0.0002247447792581575,0.09354304999256616
109,0.00023131577781653696,0.09350014149404987
110,0.00023807889661991947,0.09414009261921959
111,0.00024503975280369347,0.09453218675309069
112,0.00025220412773482013,0.09413400121011516
113,0.00025957797181357063,0.09372833988981066
114,0.00026716740941565514,0.09475326094756664
115,0.0002749787439788474,0.09435058943182287
116,0.00028301846323833013,0.09351540113177859
117,0.0002912932446151097,0.0934395731947946
118,0.0002998099607619748,0.09331841263458734
119,0.00030857568527160536,0.09370235387603112
120,0.0003175976985515739,0.09370628925036725
121,0.00032688349387111645,0.09435306147925603
122,0.0003364407835846981,0.09384083082667351
123,0.000346277505537539,0.09360120066105437
124,0.0003564018296584244,0.09372026400123544
125,0.00036682216474527037,0.0933274063292891
126,0.0003775471654490868,0.0945058226900334
127,0.0003885857394621299,0.09409071190681012
128,0.0003999470549162232,0.09360220638428762
129,0.00041164054799738554,0.09400260606989415
130,0.0004236759307830935,0.09361111674001013
131,0.0004360631993086859,0.09361044276634249
132,0.00044881264186961083,0.09429222364219957
133,0.0004619348475664119,0.09452447741630002
134,0.000475440715099546,0.09344618074091551
135,0.000489341461821344,0.09500040707991828
136,0.0005036486330526269,0.09389013983795798
137,0.0005183741116717192,0.09464296075915095
138,0.00053353012798382,0.09332736017389613
139,0.0005491292698789323,0.09366809684149031
140,0.0005651844932867858,0.09414536069822926
141,0.0005817091329374358,0.0941883672935346
142,0.0005987169134364763,0.09368345621535511
143,0.0006162219606640671,0.09424758065211507
144,0.000634238813507239,0.09414160445270361
145,0.0006527824359352252,0.09387788408566031
146,0.0006718682294278459,0.09425081688124184
147,0.0006915120457672686,0.09338185398817006
148,0.0007117302002037697,0.09417048537470687
149,0.0007325394850064305,0.0940620543403741
150,0.0007539571834100235,0.09421776739944736
151,0.0007760010839696726,0.09376310574588859
152,0.0007986894953352085,0.09363002087756281
153,0.0008220412614574901,0.09479908455890383
154,0.000846075777239327,0.09449465582069114
155,0.0008708130046439881,0.09405776565446824
156,0.0008962734892746943,0.09338582621317798
157,0.0009224783774388495,0.09394593897661918
158,0.0009494494337111918,0.09439590441246978
159,0.000977209059010448,0.09390479877141143
160,0.0010057803092045053,0.09444406485701881
161,0.0010351869142595565,0.09397938937785803
162,0.0010654532979491164,0.09369910787495732
163,0.0010966045981392863,0.09374690740103844
164,0.0011286666876671068,0.09425335846650948
165,0.0011616661958293517,0.09381027341508008
166,0.0011956305304995898,0.09449462353206825
167,0.0012305879008919086,0.09390273677891334
168,0.0012665673409901883,0.0947407085427763
