,0,1,2,3,4,5,6,7
0,85006.17679043242,72961.51522546387,30231.149368504477,20905.381638032144,13781.253038726072,15702.906831762815,85378.20223726888,85464.30385190989
1,84953.34514869112,72600.2727914798,30228.782615240772,21167.546176961885,13827.363877425747,15184.860629069633,85380.62641945985,85629.14274886713
2,84921.46835103669,73353.41637322833,29823.155707268033,20368.072402916587,14797.521231776444,15341.31856392418,85377.95082290737,89040.5768864193
3,84976.97480255156,72800.78824650672,30322.738276772783,20774.367050061213,14030.55231836768,15054.605061724555,85384.62796442189,88956.27122070824
4,84936.63880048125,72935.04844153728,30291.241308397603,20673.63640211311,13470.26879354856,14910.561842545125,85394.88826913864,99639.04707972273
5,84850.37780522872,73167.08269891118,30081.84208770909,20818.20888807783,13909.990372258015,15157.308431051913,85428.34522870085,143528.13520399685
6,84901.09801522623,72774.09149903673,30018.843903074943,20573.661379984598,13457.004832853107,15255.477327883458,81063.26078124632,94377.56574868612
7,84966.23512793134,72471.43696660126,30317.313540432147,20816.298060749978,14499.311398252321,17431.351963622874,74239.32529493245,97150.70138642035
8,84982.3734488803,74091.02678661143,31351.636296874658,23182.94424215926,20287.151718104065,26121.58662264254,47773.00588352707,28423474362.648834
9,85307.20805072828,85195.4495808119,74553.15844365918,39811.6279883445,30620.822809737223,41432.5113223657,85386.885209351,85959.92357029524
