,batchsize,datapoints,degree,analytical_error,eta_ADAM,eta_RMSprop,eta_SGD,t0,t1,epochs,MSE_SGD,MSE_RMSprop,MSE_decay,MSE_ADAM
0,16,2000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,1.0,62533.137249908345,65558.23201186101,53415.67505514154,66470.30884592445
1,16,2000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,10.0,49870.19354180866,51844.31113600646,41825.246169196784,55071.92951039014
2,16,2000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,100.0,41115.60124937032,41275.97050017479,34774.33473060389,42325.790655461205
3,16,2000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,1000.0,32937.454944408746,35563.89502166431,31698.762246831506,34413.63026128092
4,16,2000,10,24332.30776306808,0.1,0.1,0.001,1000,100000.0,10000.0,29899.0002596638,29846.725494656206,30640.821426709135,30126.337984110007
