,batchsize,datapoints,degree,analytical_error,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop,MSE_decay,MSE_ADAM
0,16,2000,10,24332.30776306808,1000,1e-07,1000,10.0,74210.89339688364,81426.4251097115,,81253.13543516296
1,16,2000,10,24332.30776306808,1000,1e-06,1000,100.0,62739.69745444129,80414.2167405328,,81543.00251646429
2,16,2000,10,24332.30776306808,1000,1e-05,1000,1000.0,49443.552524923114,77198.12133820224,,79550.79431329791
3,16,2000,10,24332.30776306808,1000,0.0001,1000,10000.0,40257.480873699315,65796.07379505661,,68087.88182767529
4,16,2000,10,24332.30776306808,1000,0.001,1000,100000.0,32769.68040712108,52272.208809969976,31626.93882777573,53959.27617030527
5,16,2000,10,24332.30776306808,1000,0.01,1000,1000000.0,30944.518213043586,41250.67476979919,34820.48840413724,42161.61345110535
6,16,2000,10,24332.30776306808,1000,0.1,1000,10000000.0,,33417.432459883465,40540.48260464982,34461.68001177133
7,16,2000,10,24332.30776306808,1000,1.0,1000,100000000.0,,32691.247734435485,49526.59216000323,32345.91820410813
8,16,2000,10,24332.30776306808,1000,10.0,1000,1000000000.0,,32813.61481937903,62684.170736543776,31358.173998445618
9,16,2000,10,24332.30776306808,1000,100.0,1000,10000000000.0,,88326.69968216574,73679.29592900997,2663908.5677665262
