,0,1,2,3,4,5,6,7
0,85354.96388923426,75390.4214791154,21232.09407332734,12001.742088688527,21642.764775159325,652649.0234696789,,
1,85346.07927067112,74841.661271546,21064.45987958551,11731.389220970214,20010.493439601858,77453.26191508754,,
2,85353.84330858258,75092.21168066925,21158.18775147416,12310.423961887842,21901.945526016287,83024.31239611235,,
3,85342.84458882392,74512.09924725452,20905.257545351444,12304.967372706911,24507.207822375156,206654.60039088727,,
4,85342.876159542,75288.70710256722,21117.711906286666,12381.564908655386,22364.55461869483,86988.37064281224,,
5,85344.64366081139,75731.64112030287,21268.156510298875,11921.233115028594,21216.331596767366,349228.9584526586,,
6,85355.71158757166,74852.33874068482,21975.538393333485,12429.921592093822,21391.89342842891,83520.60565701901,,
7,85339.3409802803,75866.06424888156,21674.98818497426,13619.877462555223,25536.228133949753,85540.42836717417,,
8,85360.81606005323,82771.52214473479,45123.90234207668,43614.47582805897,69862.52138719191,85416.76067852408,,
9,85381.83323396984,85361.67953760868,85370.43357059019,85383.56166189918,,,,
