,0,1,2,3,4,5,6,7
0,85373.95553006753,85331.4812285351,84278.60966280018,70774.83634106918,33451.36944269507,22351.959588440415,62656.399242536594,79410.04744774957
1,85379.04645640851,85332.98106432252,84259.6715822727,70748.2329264253,32162.923090012,25829.536945558295,70004.11298231035,78920.05219749556
2,85354.37866109656,85333.42839203347,84271.60619931968,70750.41863526769,32918.634276781224,21064.269177136353,65819.89160780216,83642.65885641091
3,85375.5373380207,85340.55998263377,84303.88570593773,70805.12326659872,32609.932641739084,20383.409270292115,66111.61395948536,82344.64536318571
4,85363.9119106021,85348.11404454763,84270.45984080409,70746.60346922892,33514.51432354206,19715.763112684428,65066.115204250076,72677.70804769253
5,85369.88334846079,85332.0197796133,84254.80532060133,70760.51749746109,33164.1513473478,19358.68415974854,57740.25240026022,81203.50614435927
6,85368.68488736314,85336.3090567216,84304.54282706053,70735.2547425436,32353.65557622537,18677.685546343997,47980.257401977586,88333.92061266411
7,85371.26662331272,85331.04498584701,84308.58590183625,70873.43861050908,33583.62365214728,20266.63647972638,51325.548697493694,85920.93573991436
8,85380.03947406747,85355.72931654712,85111.25048226972,73685.13826335446,39825.97373738823,27432.40831222586,57041.339016177444,86607.75136190724
9,85361.61677760522,85374.91034349694,85379.07915709188,85371.64919995508,85358.30995746264,85379.42643561808,85437.005484148,85654.3700022465
