Activation_function,regulizer,batch_size,lambda,eta,train_err,test_err
sigmoid,l1,25,1.000000e-09,1.000000e-04,2.068307,16.075548
sigmoid,l1,25,1.000000e-08,1.000000e-04,0.672260,13.033975
sigmoid,l1,25,1.000000e-07,1.000000e-04,0.706483,13.666714
sigmoid,l1,25,1.000000e-06,1.000000e-04,178.922501,179.032349
sigmoid,l1,25,1.000000e-09,1.000000e-03,0.527438,14.953229
sigmoid,l1,25,1.000000e-08,1.000000e-03,0.839151,17.856524
sigmoid,l1,25,1.000000e-07,1.000000e-03,0.529138,13.603747
sigmoid,l1,25,1.000000e-06,1.000000e-03,0.881881,15.004039
sigmoid,l1,25,1.000000e-09,1.000000e-02,2.961422,15.732512
sigmoid,l1,25,1.000000e-08,1.000000e-02,3.337872,17.855242
sigmoid,l1,25,1.000000e-07,1.000000e-02,2.475804,15.136049
sigmoid,l1,25,1.000000e-06,1.000000e-02,3.055398,16.608517
elu,l1,25,1.000000e-09,1.000000e-04,1.742637,17.148611
elu,l1,25,1.000000e-08,1.000000e-04,1.472234,18.053988
elu,l1,25,1.000000e-07,1.000000e-04,2.147410,16.945425
elu,l1,25,1.000000e-06,1.000000e-04,2.061188,16.715824
elu,l1,25,1.000000e-09,1.000000e-03,2.411182,16.838085
elu,l1,25,1.000000e-08,1.000000e-03,2.474514,17.370132
elu,l1,25,1.000000e-07,1.000000e-03,1.918463,17.425564
elu,l1,25,1.000000e-06,1.000000e-03,2.091418,17.525223
elu,l1,25,1.000000e-09,1.000000e-02,1.852915,228.444580
elu,l1,25,1.000000e-08,1.000000e-02,2.366814,14.753699
elu,l1,25,1.000000e-07,1.000000e-02,3.020785,43.186234
elu,l1,25,1.000000e-06,1.000000e-02,1.859483,13.959725
