# 25full,25sqrt,25log,25third,9full,9sqrt,9log,9third,5full,5sqrt,5log,5third
1.635831966736450482e+01,2.790029829840590736e+01,3.267744896952960687e+01,1.790549030489860982e+01,1.606368795256894444e+01,2.632648752849032547e+01,3.038947088605291924e+01,1.795374577578065356e+01,2.651796215002411827e+01,3.969617021492435072e+01,4.315936511747261051e+01,3.165663384751205101e+01
1.329036499976023933e+01,2.039502214454165596e+01,2.399249762287022492e+01,1.445051199452270829e+01,1.296854870553687000e+01,2.043276816512578620e+01,2.431420341875720226e+01,1.378751756905783665e+01,2.567070592842156174e+01,3.516971371223620935e+01,3.898739481883318092e+01,2.827838324590554109e+01
1.125879880135716249e+01,1.677303848180489254e+01,2.072347439142619763e+01,1.175667286459324501e+01,1.130377190436895951e+01,1.689251306637753203e+01,2.056327423830489209e+01,1.177924556166513170e+01,2.466899381089888266e+01,3.342885082077060588e+01,3.621017445824566039e+01,2.658529938379759372e+01
1.061221061818993938e+01,1.550750768265010038e+01,1.871706945236143582e+01,1.085167961066163578e+01,1.062994511653655039e+01,1.599684673941566793e+01,1.956563737528590963e+01,1.097670075035768100e+01,2.458580431208303807e+01,3.340429923585050176e+01,3.556645534842770928e+01,2.619509053299750079e+01
1.027381670955296400e+01,1.501704926383493799e+01,1.828481667888296869e+01,1.054854723513002845e+01,1.028135852244631643e+01,1.553550320626939651e+01,1.918292133544799327e+01,1.062813033871033674e+01,2.435908797205915377e+01,3.318875905566222428e+01,3.513029063541138441e+01,2.579477143812676587e+01
1.025471520170704665e+01,1.492271683374013946e+01,1.819424740609061786e+01,1.046499939387649647e+01,1.024571961497818151e+01,1.530749037809947666e+01,1.902822407988572806e+01,1.052888066856795035e+01,2.437141178681870812e+01,3.316234712178696498e+01,3.550910034972021379e+01,2.585729266772220214e+01
1.021161820969386191e+01,1.482712518028396609e+01,1.808949036971712943e+01,1.041911087874142439e+01,1.020259229354260988e+01,1.526200313116025242e+01,1.889765106098847625e+01,1.048347242569707305e+01,2.436641425188167176e+01,3.310030672981339706e+01,3.534806701494848369e+01,2.579915984916210192e+01
1.019558374525517586e+01,1.481445454797923844e+01,1.809735973416085386e+01,1.041802690556220767e+01,1.021438182084622781e+01,1.526343172177738872e+01,1.892847936138944931e+01,1.048467091475078483e+01,2.437657610333253189e+01,3.315267755865269095e+01,3.529121544861637716e+01,2.580488810444349568e+01
