,PCA_values,test_errors,train_errors
0,1,179.01800966442502,179.01796937185156
1,2,78.97291351516637,78.9398562260591
2,3,60.15344717104906,60.12626647822007
3,4,54.09618377532818,54.07078977389036
4,5,52.403063288685985,52.383081627816146
5,6,50.37522281805874,50.355784796832594
6,7,50.09883019406276,50.07075210236953
7,8,50.067212091428026,50.03108354559468
8,9,50.10775759195264,50.07068890423765
9,10,50.125013417210496,50.08705955803054
10,11,46.38919234994032,46.34679886949429
11,12,45.58156765167037,45.52477222038435
12,13,45.334996548157626,45.27703278989554
13,14,45.0772969923714,45.0280892116073
14,15,44.79898575220291,44.72095213474633
15,16,44.518706814673145,44.42947486367636
16,17,43.90415889954568,43.84445858570856
17,18,39.502317095371374,39.32125689971532
18,19,36.30793641303181,36.16507284624734
19,20,36.011029669913505,35.85882167398099
20,21,35.744712684828,35.553079165200714
21,22,34.61051994255054,34.49011964028624
22,23,34.41098368617254,34.28801430071846
23,24,34.27477921795888,34.099123813247616
24,25,34.011793907638356,33.89204585115647
25,26,33.734089874154215,33.64917131246263
26,27,33.61828246694905,33.50751572479153
27,28,33.46686592485699,33.31263282145361
28,29,33.36254637915146,33.1922574455995
29,30,32.93217144669939,32.82507369524613
30,31,32.79444844851877,32.671653301356095
31,32,32.718924438197874,32.59642190734094
32,33,32.65337825746771,32.54604996021498
33,34,32.60618180721026,32.45385500441544
34,35,32.50947784821664,32.346103381647055
35,36,32.473146299336705,32.254816827554734
36,37,32.46291193223558,32.24891908583573
37,38,32.416093108845004,32.218322684420755
38,39,32.41959357843237,32.2028939886775
39,40,32.37279773352463,32.16286825917241
40,41,32.32899815302606,32.10956178779679
41,42,32.26889970348163,32.03392265240326
42,43,32.1615280288255,31.930053097723224
43,44,31.961293678883624,31.72933215538918
44,45,31.946781918596105,31.678604857825906
45,46,31.89337590655317,31.644855739549776
46,47,31.87566383358142,31.610335608056438
47,48,31.818056858906136,31.530453631309477
48,49,31.73404765420552,31.452692894562357
49,50,31.70705272566472,31.42291232489017
50,51,31.68459808310764,31.396860382563556
51,52,31.61245283327046,31.34645216206443
52,53,31.565245692842286,31.264568082605088
53,54,31.533190009024555,31.18810449016961
54,55,31.377205634068655,31.013067816457188
55,56,31.35758223470205,30.981782913312873
56,57,31.364337756895715,30.972152914303944
57,58,31.341148880655062,30.91663512085851
58,59,31.3221335195567,30.884372387464094
59,60,31.306826432320452,30.78276849618527
60,61,31.017813629809684,30.567780563014516
61,62,30.646813158636224,30.202193069625032
62,63,29.65721346136089,29.28088058159178
63,64,29.19285518236901,28.780970876660678
64,65,29.025278961027936,28.55471904681238
65,66,28.57049858609032,28.140206644464662
66,67,28.35002412043739,27.967250470046263
67,68,28.20902534839027,27.801065747644213
68,69,28.012855543588113,27.56350062685226
69,70,27.8203749604888,27.385004892716278
70,71,27.604598102744013,27.2190362424788
71,72,27.585018519742682,27.206646141255696
72,73,27.542398922534822,27.126954315661237
73,74,27.476696349171043,27.05312099095935
74,75,27.356056199688304,26.926938475912618
75,76,27.31215542408279,26.872768544509135
76,77,27.235458451898655,26.786880613281955
77,78,27.186056136641874,26.759323145139557
78,79,27.13569975843119,26.695491811521457
79,80,27.130630499047196,26.667774885358234
80,81,27.00243607082849,26.537361417462535
81,82,26.8634303717406,26.458985919460225
82,83,26.661164284028438,26.254765374850013
83,84,26.633106269212476,26.1648178853846
84,85,26.52594443599859,26.103160608488025
85,86,26.50134960745308,26.09478768416908
86,87,26.45034488768249,25.998333401786397
87,88,26.417415011922458,25.96458437360792
88,89,26.401565580846075,25.932867531507952
89,90,26.380190171520354,25.91103695359292
90,91,26.37551740825142,25.900376656802006
91,92,26.322186940790232,25.881082798682336
92,93,26.29792302986498,25.803552428628148
93,94,26.16038082320418,25.644571181813824
94,95,26.09495464478718,25.61371222104782
95,96,26.024465971029105,25.55780103243987
96,97,25.906595973298852,25.492892647558527
97,98,25.88603476432484,25.46523861620713
98,99,25.85820826447641,25.408039162630253
99,100,25.845491782863917,25.370815123390248
100,101,25.815586809373393,25.31277042801129
101,102,25.752605102984766,25.241912088116983
102,103,25.693786630528688,25.149084814588512
103,104,25.685676806813547,25.144084656103836
104,105,25.618490916567175,25.122193395800384
105,106,25.552108538488714,25.048514900627048
106,107,25.426677238233623,24.926680409308226
107,108,25.33107714695786,24.835682260044976
108,109,25.262365629627222,24.791708239799686
109,110,25.23400116623499,24.752516670020544
110,111,25.240425613337624,24.731793594822665
111,112,25.20168964192867,24.695336474129103
112,113,25.169551421552523,24.680924868522595
113,114,25.0966479944655,24.60946705246752
114,115,25.09574588457131,24.529508751809303
115,116,25.049317515777453,24.499160231224707
116,117,24.964880764694463,24.455162169824114
117,118,24.99508351963245,24.413849505868985
118,119,24.963603314047585,24.39281796263516
119,120,24.945902086911428,24.357333949286577
120,121,24.95575652958986,24.319561227543335
121,122,24.895033293285906,24.28570191507573
122,123,24.902404499792222,24.281006501049536
123,124,24.889328918336105,24.264578212704524
124,125,24.841712068428187,24.230820574269963
125,126,24.845453304490963,24.217573400147835
126,127,24.852307004459,24.19665502505377
127,128,24.832477566940373,24.18501764397218
128,129,24.816645203093834,24.16551765272437
129,130,24.80793229397738,24.152412717595197
130,131,24.76739081520713,24.136297409179313
131,132,24.766185367715323,24.118423398006193
132,133,24.742135829974934,24.105939444330225
133,134,24.685939334275112,24.073346328795587
134,135,24.68423633335032,24.068370879880213
135,136,24.66456707904738,24.055281319498018
136,137,24.618954980727004,24.026173432303825
137,138,24.597877890015855,24.009584819952185
138,139,24.57047457385959,23.988543328226772
139,140,24.49903677047592,23.928604221787786
140,141,24.46251576120452,23.902934483079378
141,142,24.456161288288698,23.885366493297568
142,143,24.46178955903009,23.849240984035813
143,144,24.4220294032092,23.80337993371963
144,145,24.372515078676617,23.752795434431608
145,146,24.33126279759178,23.712741443028175
146,147,24.305224696817536,23.69991726107181
147,148,24.29687323201349,23.694772215365493
148,149,24.293179837817696,23.661705143218377
149,150,24.259542988959655,23.643344323075546
150,151,24.208931307469875,23.6223936062451
151,152,24.191932928388447,23.585752927380085
152,153,24.177032878179595,23.562267410298624
153,154,24.135058033450843,23.537340168004285
154,155,24.11482275646984,23.507505669692108
155,156,24.109587267974945,23.459064059545998
156,157,24.12344121341704,23.451527283179047
157,158,24.136160505416104,23.45029205173948
158,159,24.14716740285752,23.442016809069695
159,160,24.135623308746673,23.436372017301018
160,161,24.10599409749775,23.413611856758855
161,162,24.10068352080308,23.40716006549068
162,163,24.102002202165657,23.407152681891787
163,164,24.093726931295123,23.4017536155401
164,165,24.0824151639459,23.394495225016758
165,166,24.088503548027308,23.39299003693533
166,167,24.093598417944527,23.379485208922677
167,168,24.05284459481303,23.34053848187841
168,169,24.035857624057613,23.32801421568919
169,170,24.02958354676148,23.285867299274216
170,171,23.99920274945294,23.26964867620675
171,172,24.00928937364271,23.248622278768966
172,173,23.95415870492219,23.217930766944704
173,174,23.95745053131863,23.203316065797658
174,175,23.932676171975675,23.19372463629616
175,176,23.934697940752223,23.187347773141262
176,177,23.955111041215126,23.16682487554275
177,178,23.92158062852462,23.151476137163595
178,179,23.90746488676893,23.1327945671923
179,180,23.905990516199758,23.12492533017437
180,181,23.8934743879906,23.115637155511514
181,182,23.868598537955968,23.114247537291533
182,183,23.831989574162453,23.089596430006374
183,184,23.80903189944445,23.031458744261165
184,185,23.790885048106286,22.970295525636814
185,186,23.797636945898073,22.96376246155389
186,187,23.798822746392247,22.949056597380043
187,188,23.754036200198847,22.902495200156853
188,189,23.755101145220703,22.85445099220673
189,190,23.711194894424352,22.83038416249148
190,191,23.555740881849033,22.712569580539924
191,192,23.45286791067833,22.647199332810885
192,193,23.37201324985671,22.591718995467847
193,194,23.363857069640083,22.58496130711325
194,195,23.32083133899743,22.535804932171178
195,196,23.306573059797028,22.521539077480515
196,197,23.29830218264791,22.51104521621948
197,198,23.295163179239474,22.48149135719829
198,199,23.31459960218575,22.47225512351036
199,200,23.325510201003425,22.450431822930504
200,201,23.320737182346154,22.42821373542374
201,202,23.27389876186073,22.410421264172037
202,203,23.232494887600012,22.36680264231284
203,204,23.236663821087767,22.34827567056771
204,205,23.20452687474244,22.30047028765374
205,206,23.097315786066442,22.218242344504905
206,207,23.104027408262333,22.19850307477954
207,208,22.998953201683968,22.136443412788886
208,209,22.994279442957925,22.116923148506125
209,210,22.983366690098688,22.100463213274132
210,211,22.9534291686329,22.02109428640541
211,212,22.834480023962065,21.960899339822248
212,213,22.777748429090273,21.9014848722557
213,214,22.760072181139034,21.87095957813063
214,215,22.757279786837096,21.843608787180276
215,216,22.729307709563514,21.836312533503396
216,217,22.721227011126047,21.800801500835508
217,218,22.683020299313434,21.77908846589413
218,219,22.66577399254855,21.744244547743097
219,220,22.655060780628485,21.737424719449223
220,221,22.668391266734965,21.723652086045785
221,222,22.665485754378043,21.71153577607476
222,223,22.66213968014888,21.699832676996333
223,224,22.62682559542256,21.602143661670368
224,225,22.509774277428402,21.519157211201595
225,226,22.37238464133241,21.418815779818317
226,227,22.336056944528497,21.40659809294799
227,228,22.327326202344267,21.397932814935587
228,229,22.2516430697358,21.320515886587923
229,230,22.248907323504607,21.3075953563309
230,231,22.19559242709359,21.267588332779848
231,232,22.165038534845337,21.2431458367442
232,233,22.14194733652917,21.239964932847258
233,234,22.135058776705502,21.23114022998869
234,235,22.13454839013887,21.21272048714879
235,236,22.136999310221363,21.20734579378763
236,237,22.127365302845828,21.194074868691796
237,238,22.134043909033277,21.191651070053787
238,239,22.13994340406114,21.191010751232806
239,240,22.141476916175822,21.18706874616691
240,241,22.10573509996579,21.173311001195067
241,242,22.129407240889584,21.14224796780867
242,243,22.098621876725826,21.120189850340374
243,244,22.10923774925248,21.053920897593876
244,245,21.858989261163295,20.858269784659985
245,246,21.90070858932047,20.78006511827073
246,247,21.273688121432162,20.31624224829793
247,248,21.008018740312405,20.174466075334944
248,249,20.993619824791445,20.112915390792573
249,250,20.780381697560795,19.958134609833316
250,251,20.759685528355707,19.95488076385865
251,252,20.759153430615864,19.946146935509848
252,253,20.757475600386528,19.94010005863263
253,254,20.74736656217187,19.93575884983071
254,255,20.74977439239871,19.933713016073177
255,256,20.74957188492449,19.93275011933065
256,257,20.749308237820955,19.92961704380846
257,258,20.751537425383276,19.92940502253653
258,259,20.748389705980422,19.92855915744293
259,260,20.77281319841011,19.853112655463526
260,261,22.81879944223405,19.850598424398253
261,262,22.81904422264542,19.850615041342838
262,263,22.819043664160045,19.85061504134283
263,264,22.81904536316355,19.850615041342838
264,265,22.819045538896987,19.850615041342838
265,266,22.81904554248939,19.85061504134283
266,267,22.81904606987136,19.850615041342827
267,268,22.81904695880639,19.850615041342827
268,269,22.819047227733222,19.850615041342827
269,270,22.81904619937675,19.850615041342827
270,271,22.819046112027245,19.850615041342827
271,272,22.819045396495405,19.85061504134283
272,273,22.819046961042925,19.85061504134283
273,274,22.819048326249906,19.85061504134283
274,275,22.819047786637064,19.85061504134283
275,276,22.819048682890337,19.85061504134283
