# 25full,25sqrt,25log,25third,9full,9sqrt,9log,9third,5full,5sqrt,5log,5third
8.778758326576715376e+01,9.988677019403087343e+01,1.013333280059156323e+02,9.166156433336026055e+01,8.765628887611129016e+01,9.936213433225859148e+01,9.954950419990248633e+01,9.293513392041828070e+01,1.093809015256094170e+02,1.200911455793992957e+02,1.243367967257209301e+02,1.163226886458801346e+02
6.721949915615408599e+01,7.463198768669646199e+01,7.638824356543503313e+01,7.254332404342325447e+01,6.840329541006448721e+01,7.631651437190751608e+01,7.782138370653777315e+01,7.204285229719677375e+01,1.029123232849176475e+02,1.071732798323776734e+02,1.077739851267749884e+02,1.040623516464802094e+02
5.903579424505276307e+01,6.255829585639239809e+01,6.391943803448965866e+01,5.996725213020764755e+01,6.062547703819818423e+01,6.502282889333403659e+01,6.674666928592382931e+01,6.167844238316023109e+01,9.934611268886710889e+01,1.035295698019741337e+02,1.050515707665692418e+02,9.908025331686144455e+01
5.574494800644282577e+01,5.801233365136509690e+01,5.885881357576825934e+01,5.565925186935456992e+01,5.767503141694476199e+01,6.123176286990501183e+01,6.338068412282812858e+01,5.867785423832363279e+01,9.851963807859544886e+01,1.017457459641651383e+02,1.033634511840978547e+02,9.847292239456992036e+01
5.433547835531823011e+01,5.661115083015367588e+01,5.767159151462497135e+01,5.466822029656060522e+01,5.659238037203807892e+01,6.002352605916371431e+01,6.179870694525366304e+01,5.717535474629685410e+01,9.864036091258944339e+01,1.011934552475718903e+02,1.030168817562226167e+02,9.823878777204029689e+01
5.413908735520099924e+01,5.607159345404794237e+01,5.728144330606717460e+01,5.417647607155262079e+01,5.627756658983969373e+01,5.981110264837750634e+01,6.146815067538805977e+01,5.711783916968748542e+01,9.848898688729536843e+01,1.012215384096733999e+02,1.031500777885500213e+02,9.796544819977921748e+01
5.402336363003206543e+01,5.583477073819312864e+01,5.722099761736824064e+01,5.392108505708110044e+01,5.608853181220312933e+01,5.980268979951098629e+01,6.122622326143465443e+01,5.687671847308952522e+01,9.833313090060491390e+01,1.014069647137902166e+02,1.032353843254094699e+02,9.806185093867422609e+01
5.396655125402308784e+01,5.597488524797127241e+01,5.700166149737369636e+01,5.390158377112286558e+01,5.603134679919723027e+01,5.965548074108593113e+01,6.126629527743655501e+01,5.679631774196724336e+01,9.836546272490805620e+01,1.012886864649479435e+02,1.032808479735847413e+02,9.797243110967576740e+01
