# 25full,25sqrt,25log,25third,9full,9sqrt,9log,9third,5full,5sqrt,5log,5third
6.147646487498455770e+00,1.020716355873195447e+01,1.199727702603655466e+01,6.822429086725061431e+00,6.227185734623782665e+00,1.282587529810794003e+01,1.599278722939383712e+01,7.495111403748978773e+00,2.602086250759640507e+01,3.884068459525997241e+01,4.249148624545306774e+01,3.110546477766630602e+01
5.511164792625932840e+00,8.723079532880586129e+00,1.044003002273314173e+01,6.245070785931316593e+00,5.658928745616696787e+00,1.071810626022721458e+01,1.359045529207324066e+01,6.464165252358152536e+00,2.487373968245363898e+01,3.455728012038517249e+01,3.830113818475045662e+01,2.749137302603561039e+01
4.613181515459753967e+00,7.167657727544157531e+00,8.758327281024808286e+00,4.984532502547227573e+00,4.816536502774927619e+00,8.723364407814974797e+00,1.142612457627533828e+01,5.394963639229388264e+00,2.403076846596650284e+01,3.293217220404743273e+01,3.553509904048684120e+01,2.585530078200186566e+01
4.105575108390749683e+00,6.167021250482794592e+00,7.415023278781118776e+00,4.331827879391346947e+00,4.307808956537233058e+00,7.873043645225145326e+00,1.057597690523841649e+01,4.692403744262135135e+00,2.404002250585684308e+01,3.283478413241626015e+01,3.513562325170583733e+01,2.553974502090520460e+01
3.897869290858240188e+00,5.727422480760528956e+00,6.913343203082416899e+00,4.032579103295793388e+00,4.078864259808260506e+00,7.547082465786428607e+00,1.021714405480070731e+01,4.417784162819625493e+00,2.376824185604191442e+01,3.265570080852139512e+01,3.467217546085175428e+01,2.517392499885514212e+01
3.832558531743972541e+00,5.591460156418014193e+00,6.828781623164087655e+00,3.925411049260611573e+00,4.010093537014358667e+00,7.360512105276465711e+00,1.004654624876159552e+01,4.343235974497940965e+00,2.380388680574665017e+01,3.259991240985418415e+01,3.500547639406367040e+01,2.519042091332869049e+01
3.818593517587758335e+00,5.527320854433374286e+00,6.752740656630481730e+00,3.896694531299827791e+00,3.988508769216026817e+00,7.338881442793367960e+00,9.969282440005333257e+00,4.297836014331171128e+00,2.379586914533351560e+01,3.255635085024965036e+01,3.484415867744193918e+01,2.513281283565044788e+01
3.805603901910592501e+00,5.508525720121871139e+00,6.741485157364648373e+00,3.884225398959220144e+00,3.979713515292620851e+00,7.332701227570455949e+00,9.992111455220186400e+00,4.282466635557383938e+00,2.380034402742240829e+01,3.261481489953049362e+01,3.481980231074954446e+01,2.514310784248435127e+01
