# 25full,25sqrt,25log,25third,9full,9sqrt,9log,9third,5full,5sqrt,5log,5third
3.319137741930249774e+01,3.700607076546623375e+01,3.817646481974310291e+01,3.500705540026913809e+01,4.160949514699920826e+01,5.373735033329275268e+01,5.512884680964439355e+01,4.682173487583972360e+01,1.054173926427770311e+02,1.179381329957821833e+02,1.216318887280231849e+02,1.135929382105379375e+02
2.919330091323453047e+01,3.322099046486417251e+01,3.401039396417063188e+01,3.113094893118500295e+01,3.576278213614784107e+01,4.493309200642219992e+01,4.712563552196022698e+01,4.048752986562516298e+01,9.927606248017038126e+01,1.047085094406255195e+02,1.056628526354146516e+02,1.016437080209304611e+02
2.462684359927896338e+01,2.645357289005590218e+01,2.723801533622599891e+01,2.509109728972237363e+01,3.036865530847454053e+01,3.739686929027919859e+01,3.890245180098314393e+01,3.359795840127061695e+01,9.573931270868087040e+01,1.016314557071171691e+02,1.029664620713230079e+02,9.681959724351466434e+01
2.170209989203087986e+01,2.306823516017606579e+01,2.331260202128721559e+01,2.202223837215451496e+01,2.768210754802546347e+01,3.443874250901801304e+01,3.612455898800173060e+01,3.087162672308862099e+01,9.495612726608040077e+01,9.979647227590950820e+01,1.014503864964727171e+02,9.593794101620979120e+01
2.064481420228760200e+01,2.155812167892297992e+01,2.202094838138225086e+01,2.069591111537674522e+01,2.672634273342558231e+01,3.330943199062702575e+01,3.516488212868672036e+01,2.976880027312892096e+01,9.497301341596205759e+01,9.917132986439827391e+01,1.013881257508739253e+02,9.593781867712313272e+01
2.025854133550122427e+01,2.113195047294794904e+01,2.153967055922301554e+01,2.028865790889174647e+01,2.640799986990111137e+01,3.296196338684528371e+01,3.488847385474640106e+01,2.941568625613916765e+01,9.490719109022597877e+01,9.916484489182263928e+01,1.013249063992678032e+02,9.548865723543563888e+01
2.019306972165141545e+01,2.093938554109364958e+01,2.144999453269793577e+01,2.014494828290943929e+01,2.634821333286985734e+01,3.287154781931486269e+01,3.466755467382321143e+01,2.924917770172147158e+01,9.479097523307945039e+01,9.936476158497607969e+01,1.013377337797387838e+02,9.556335674674851077e+01
2.016880078524336639e+01,2.092094030249262460e+01,2.138890825632092074e+01,2.009642761026672275e+01,2.631464226690671282e+01,3.280737751410698877e+01,3.468068630087587678e+01,2.922350559906231382e+01,9.479937288306193466e+01,9.923839464395835819e+01,1.013642281324206635e+02,9.552117429951515248e+01
